id,mode,uci,lci
VP77,2.216032543784419,4.13768116892533,0.1364159402204807
VP78,2.6225261651497753,4.272288809246047,0.23517851235870263
VP79,2.973858984692721,5.1816325367621685,0.9952346864073477
VP8,1.0580382553963625,2.9444507628689696,1.8955208691454062e-4
VP80,5.221867811807449,6.831644726080499,2.660478739705555
VP81,6.524183117155106,7.927649340830491,2.906433158492617
VP82,5.947881895578336,7.740439860919258,3.987118276279303
VP83,6.157518078166076,7.933618692040703,3.2454939433183334
VP84,4.121978742067787,7.475908115153611,2.725007339675904
VP85,4.3431469984647935,7.441379799424653,2.471290105745132
VP86,5.480461001798826,7.638353661155149,2.6864090601641863
VP87,0.1123319341316448,1.9850561518325853,5.932462270761552e-4
VP89,3.710758108725509,5.394867573331904,1.0265078417531828
VP9,1.3944078077537876,2.4872933047696004,1.5231479360484912e-4
VP90,3.8535136362955615,6.169473170734968,2.023619650515372
VP91,3.8794597366574233,5.769881946806103,1.956889917767541
VP92,2.6022335445705838,5.1921628539109,0.5926649169406956
VP93,4.284137746599663,6.450387124722431,2.5611161866366827
VP94,4.699901128903294,7.814711773551896,2.679054233474742
VP95,2.169907386947054,4.159572072187211,0.5837301192188004
VP96,2.240416960772354,4.445866415630569,0.26909525192442335
VP97,2.8113370324175797,4.2503899359242245,0.7391996942367143
VP98,2.456169110738941,4.292747156743554,0.698468958141682
VP99,0.28360219655503266,3.2444887580062547,6.626929180769819e-4
